name,categories,difficulty,series
X-Naut,Battle,Normal,"Nintendo, Mario"
Donkey Kong,"Character, Adversary, Forest",Merciless,"Nintendo, Donkey Kong"
Diddy Kong,"Character, Forest",Normal,"Nintendo, Donkey Kong"
Dixie Kong,"Character, Forest",Tough,"Nintendo, Donkey Kong"
Pauline,"Character, Town & City, Vocals",Normal,"Nintendo, Mario"
Mona,Character,Lunatic,"Nintendo, WarioWare"
Starlow,"Character, Space",Tough,"Nintendo, Mario"
Prince Peasley,Character,Lunatic,"Nintendo, Mario"
Geno,"Character, Space",Lunatic,"Nintendo, Mario"
Mallow,Character,Easy,"Nintendo, Mario"
Toadette,Character,Normal,"Nintendo, Mario"
Blue Toad,Character,Easy,"Nintendo, Mario"
Gobblegut,"Boss, Fiery",Normal,"Nintendo, Mario"
Dino Piranha,Boss,Easy,"Nintendo, Mario"
King K,"Character, Adversary",Normal,"Nintendo, Mario"
Jimmy T,Character,Tough,"Nintendo, WarioWare"
Dr. Crygor,Character,Tough,"Nintendo, WarioWare"
Birdo,Boss,Normal,"Mario, Nintendo"
Yoshi,"Character, Nature",Easy,"Nintendo, Mario, Yoshi"
Millennium Star,"Character, Space",Lunatic,"Nintendo, Mario"
Tumble,Character,Normal,"Nintendo, Mario"
Klepto,"Battle, Desert",Tough,"Nintendo, Mario"
Koopa Bros.,"Boss, Dungeon",Normal,"Nintendo, Mario"
Gourmet Guy,"Character, Adversary",Tough,"Nintendo, Mario"
Vivian,"Character, Spooky",Tough,"Nintendo, Mario"
Beldam,"Character, Spooky",Tough,"Nintendo, Mario"
Plessie,"Character, Aquatic",Normal,"Nintendo, Mario"
Dorrie,"Character, Aquatic",Normal,"Nintendo, Mario"
Fawful,Boss,Lunatic,"Nintendo, Mario"
Angry Sun,"Battle, Desert",Tough,"Nintendo, Mario"
Octoomba,"Battle, Space",Easy,"Nintendo, Mario"
Cow,"Nature, Locale",Normal,"Nintendo, Mario"
Link (TotK),"Character, Locale",Normal,"The Legend of Zelda, Nintendo"
Demise,Final Boss,Merciless,"The Legend of Zelda, Nintendo"
Ganondorf (TotK),Final Boss,Merciless,"The Legend of Zelda, Nintendo"
Princess Zelda (TotK),"Character, Cutscene, Town & City",Normal,"The Legend of Zelda, Nintendo"
Princess Zelda (EoW),"Character, Town & City",Normal,"The Legend of Zelda, Nintendo"
Groose,"Character, Adversary",Normal,"The Legend of Zelda, Nintendo"
Vaati,"Character, Adversary",Merciless,"The Legend of Zelda, Nintendo"
Laruto,"Character, Adversary, Cutscene",Tough,"The Legend of Zelda, Nintendo"
Mikau,"Character, Aquatic, Cutscene",Lunatic,"The Legend of Zelda, Nintendo"
Sidon,"Character, Aquatic, Town & City",Tough,"The Legend of Zelda, Nintendo"
Helmaroc King,Boss,Tough,"The Legend of Zelda, Nintendo"
Urbosa,"Character, Desert, Cutscene",Lunatic,"The Legend of Zelda, Nintendo"
Riju,"Character, Desert, Object",Tough,"The Legend of Zelda, Nintendo"
Nabooru,"Character, Desert, Dungeon",Tough,"The Legend of Zelda, Nintendo"
Ganondorf (TP),Final Boss,Merciless,"The Legend of Zelda, Nintendo"
Twinrova,"Boss, Fiery, Snowy",Tough,"The Legend of Zelda, Nintendo"
Impa (SS),"Character, Cutscene",Tough,"The Legend of Zelda, Nintendo"
Impa (ALBW),"Character, Cutscene",Normal,"The Legend of Zelda, Nintendo"
Impa (OoT),"Character, Cutscene, Spooky, Dungeon, Town & City",Tough,"The Legend of Zelda, Nintendo"
Paya,"Character, Town & City, Object",Normal,"The Legend of Zelda, Nintendo"
Ghirahim,"Boss, Object, Dungeon",Tough,"The Legend of Zelda, Nintendo"
Fi,"Character, Object",Normal,"The Legend of Zelda, Nintendo"
Carpenters,"Character, Town & City, Object, Locale",Easy,"The Legend of Zelda, Nintendo"
Malon,"Character, Nature, Town & City, Event, Cutscene",Easy,"The Legend of Zelda, Nintendo"
Cremia,"Character, Town & City, Event, Cutscene",Normal,"The Legend of Zelda, Nintendo"
Kafei,"Character, Town & City",Tough,"The Legend of Zelda, Nintendo"
Majora's Mask,Final Boss,Lunatic,"The Legend of Zelda, Nintendo"
Fierce Deity Link,"Character, Credits",Merciless,"The Legend of Zelda, Nintendo"
Skull Kid,"Character, Adversary, Nature, Forest",Lunatic,"The Legend of Zelda, Nintendo"
Happy Mask Salesman,"Character, Town & City",Tough,"The Legend of Zelda, Nintendo"
Lord Jabu-Jabu,"Character, Aquatic, Dungeon, Locale, Nature",Normal,"The Legend of Zelda, Nintendo"
Princess Ruto,"Character, Aquatic, Town & City, Locale",Normal,"The Legend of Zelda, Nintendo"
Link (MM),"Character, Forest, Nature, Town & City, Spooky, Object",Tough,"The Legend of Zelda, Nintendo"
Zelda,"Character, Vocals, Credits, Cutscene, Locale, Town & City, Object",Normal,"The Legend of Zelda, Nintendo"
Queen Sonia,"Character, Cutscene, Town & City, Locale, Object",Easy,"The Legend of Zelda, Nintendo"
King Rauru,"Character, Cutscene, Town & City, Locale, Object",Easy,"The Legend of Zelda, Nintendo"
Mineru,"Character, Cutscene, Object, Dungeon",Tough,"The Legend of Zelda, Nintendo"
Bokoblin,Battle,Normal,"The Legend of Zelda, Nintendo"
Lynel,"Battle, Fiery, Nature",Merciless,"The Legend of Zelda, Nintendo"
Navi,"Character, Cutscene, Forest, Nature, Credits, Jingles",Easy,"The Legend of Zelda, Nintendo"
Barinade,"Boss, Aquatic, Dungeon",Normal,"The Legend of Zelda, Nintendo"
Gohma,"Boss, Fiery, Dungeon",Easy,"The Legend of Zelda, Nintendo"
Mia (XCX),"Character, Nature, Locale",Merciless,"Nintendo, Xenoblade"
Pyra,"Character, Fiery, Cutscene, Credits, Object",Tough,"Nintendo, Xenoblade"
Mythra,"Character, Space, Object, Credits, Cutscene",Lunatic,"Nintendo, Xenoblade"
Dromarch,"Character, Aquatic, Nature",Normal,"Nintendo, Xenoblade"
Poppi a,"Character, Object, Event, Forest",Normal,"Nintendo, Xenoblade"
Roc,"Character, Town & City, Locale, Nature, Cutscene",Normal,"Nintendo, Xenoblade"
Brighid,"Character, Fiery, Town & City",Tough,"Nintendo, Xenoblade"
Aegaeon,"Character, Aquatic",Normal,"Nintendo, Xenoblade"
Pandoria,Character,Normal,"Nintendo, Xenoblade"
Malos,Final Boss,Lunatic,"Nintendo, Xenoblade"
Wulfric,"Character, Object, Nature",Tough,"Nintendo, Xenoblade"
Ursula,"Character, Snowy, Cutscene",Normal,"Nintendo, Xenoblade"
Haze,"Character, Cutscene, Town & City",Lunatic,"Nintendo, Xenoblade"
Glimmer,"Character, Town & City, Locale, Adversary",Tough,"Nintendo, Xenoblade"
Melia,"Character, Town & City, Locale, Credits",Tough,"Nintendo, Xenoblade"
Shulk,"Character, Object, Screen, Locale, Town & City",Normal,"Nintendo, Xenoblade"
Riku,"Character, Object",Easy,"Nintendo, Xenoblade"
Reyn,"Character, Town & City, Locale",Tough,"Nintendo, Xenoblade"
Sharla,"Character, Town & City, Locale",Easy,"Nintendo, Xenoblade"
Fiora,"Character, Cutscene, Town & City, Locale",Tough,"Nintendo, Xenoblade"
Dunban,"Character, Cutscene, Object, Screen, Other",Lunatic,"Nintendo, Xenoblade"
Ga Jiarg,"Character, Cutscene, Space",Lunatic,"Nintendo, Xenoblade"
Juniper,"Character, Nature, Forest, Adversary",Tough,"Nintendo, Xenoblade"
Lin,"Character, Cutscene, Credits, Screen, Other, Object",Easy,"Nintendo, Xenoblade"
Elma,"Character, Cutscene, Locale, Town & City, Nature, Object, Credits",Merciless,"Nintendo, Xenoblade"
Isurd,"Character, Adversary, Cutscene",Normal,"Nintendo, Xenoblade"
Nia,"Character, Cutscene",Normal,"Nintendo, Xenoblade"
Rex,"Character, Credits, Cutscene, Screen, Other",Normal,"Nintendo, Xenoblade"
Riki,"Character, Cutscene, Town & City, Locale, Forest, Nature",Easy,"Nintendo, Xenoblade"
Zeke,"Character, Locale, Cutscene, Town & City, Snowy",Lunatic,"Nintendo, Xenoblade"
Zant,"Boss, Dungeon, Spooky",Merciless,"Nintendo, The Legend of Zelda"
Midna,"Character, Cutscene, Town & City, Locale, Credits",Tough,"Nintendo, The Legend of Zelda"
Molgera,"Boss, Dungeon, Desert",Lunatic,"Nintendo, The Legend of Zelda"
Anna (Awakening),"Character, Screen, Other",Tough,"Nintendo, Fire Emblem"
Tiki (Awakening),"Character, Object, Cutscene, Nature, Locale",Merciless,"Nintendo, Fire Emblem"
Alear (M),"Character, Screen, Cutscene, Credits",Normal,"Nintendo, Fire Emblem"
Alear (F),"Character, Screen, Cutscene, Credits",Normal,"Nintendo, Fire Emblem"
Ninian,"Character, Cutscene, Snowy",Normal,"Nintendo, Fire Emblem"
Nils,"Character, Snowy, Screen, Other",Merciless,"Nintendo, Fire Emblem"
Lucas,"Character, Credits, Town & City, Locale",Easy,"Nintendo, EarthBound"
Hanna,Character,Normal,Fuga
Sonic the Hedgehog,"Character, Nature, Locale, Object",Tough,"SEGA, Sonic"
Shadow the Hedgehog,"Character, Adversary, Object",Merciless,"SEGA, Sonic"
Silver the Hedgehog,"Character, Town & City, Object, Adversary",Tough,"SEGA, Sonic"
Sly Cooper,"Character, Object, Screen, Other",Tough,Sly Cooper
Murray,"Character, Object, Fiery",Lunatic,Sly Cooper
Bentley,"Character, Object",Normal,Sly Cooper
Penelope,"Character, Object, Adversary, Event",Tough,Sly Cooper
Joker,"Character, Cutscene",Normal,"SEGA, Persona"
Ryuji Sakamoto,Character,Normal,"SEGA, Persona"
Ann Takamaki,"Character, Cutscene",Normal,"SEGA, Persona"
Morgana,"Character, Dungeon, Screen, Other",Easy,"SEGA, Persona"
Captain Olimar,"Character, Space, Nature, Locale, Screen, Other",Easy,"Nintendo, Pikmin"
Louie,"Character, Nature, Locale, Space, Adversary",Easy,"Nintendo, Pikmin"
Captain Charlie,"Character, Space, Object",Tough,"Nintendo, Pikmin"
Alph,"Character, Space",Easy,"Nintendo, Pikmin"
Brittany,"Character, Space, Nature",Normal,"Nintendo, Pikmin"
Bulborb,Battle,Easy,"Nintendo, Pikmin"
Burrowing Snagret,Boss,Tough,"Nintendo, Pikmin"
Yellow Wollyhop,"Battle, Aquatic",Tough,"Nintendo, Pikmin"
Pyroclasmic Slooch,"Battle, Fiery",Normal,"Nintendo, Pikmin"
Shepherd,"Character, Cutscene",Normal,"Nintendo, Pikmin"
Garet,"Character, Fiery",Normal,"Nintendo, Golden Sun"
Neku Sakuraba,Character,Tough,"Square Enix, TWEWY"
Shiki Misaki,"Character, Object",Normal,"Square Enix, TWEWY"
Beat,"Character, Object",Lunatic,"Square Enix, TWEWY"
Joshua,"Character, Credits",Merciless,"Square Enix, TWEWY"
Sho Minamimoto,"Character, Adversary",Lunatic,"Square Enix, TWEWY"
Marth,"Character, Town & City",Easy,"Nintendo, Fire Emblem"
Alm,"Character, Nature, Locale",Normal,"Nintendo, Fire Emblem"
Celica,"Character, Nature, Town & City, Object",Normal,"Nintendo, Fire Emblem"
Kris (M),Character,Easy,"Nintendo, Fire Emblem"
Kris (F),Character,Easy,"Nintendo, Fire Emblem"
Eliwood,"Character, Fiery",Easy,"Nintendo, Fire Emblem"
Lyndis,"Character, Nature, Locale",Tough,"Nintendo, Fire Emblem"
Hector,"Character, Town & City",Merciless,"Nintendo, Fire Emblem"
Ephraim,Character,Lunatic,"Nintendo, Fire Emblem"
Eirika,Character,Normal,"Nintendo, Fire Emblem"
Ike,"Character, Object",Merciless,"Nintendo, Fire Emblem"
Micaiah,"Character, Vocals",Normal,"Nintendo, Fire Emblem"
Chrom,"Character, Town & City",Tough,"Nintendo, Fire Emblem"
Masked Marth,"Character, Object, Cutscene, Adversary",Tough,"Nintendo, Fire Emblem"
Owain,"Character, Object",Normal,"Nintendo, Fire Emblem"
Gangrel,Boss,Tough,"Nintendo, Fire Emblem"
Emmeryn,"Character, Cutscene, Town & City, Locale",Normal,"Nintendo, Fire Emblem"
Corrin (M),"Character, Dungeon",Normal,"Nintendo, Fire Emblem"
Corrin (F),"Character, Dungeon",Normal,"Nintendo, Fire Emblem"
Ryoma,"Character, Adversary",Merciless,"Nintendo, Fire Emblem"
Xander,"Character, Adversary",Merciless,"Nintendo, Fire Emblem"
Camilla,"Character, Town & City, Locale, Adversary",Tough,"Nintendo, Fire Emblem"
Takumi,"Character, Adversary",Tough,"Nintendo, Fire Emblem"
Azura,"Character, Aquatic, Vocals",Tough,"Nintendo, Fire Emblem"
Byleth (M),"Character, Object",Tough,"Nintendo, Fire Emblem"
Byleth (F),"Character, Object",Tough,"Nintendo, Fire Emblem"
Edelgard,"Boss, Vocals",Tough,"Nintendo, Fire Emblem"
Dimitri,Boss,Tough,"Nintendo, Fire Emblem"
Claude,Character,Normal,"Nintendo, Fire Emblem"
Rhea,"Character, Vocals",Lunatic,"Nintendo, Fire Emblem"
Seteth,"Character, Town & City",Tough,"Nintendo, Fire Emblem"
Lumera,"Character, Town & City, Locale",Tough,"Nintendo, Fire Emblem"
Hardin,Boss,Tough,"Nintendo, Fire Emblem"
Zephiel,Boss,Lunatic,"Nintendo, Fire Emblem"
Nergal,Final Boss,Merciless,"Nintendo, Fire Emblem"
Lyon,"Adversary, Dungeon",Tough,"Nintendo, Fire Emblem"
Ashnard,Final Boss,Lunatic,"Nintendo, Fire Emblem"
Black Knight,Boss,Merciless,"Nintendo, Fire Emblem"
Tom Nook,"Character, Town & City, Locale, Jingles, Object",Easy,"Nintendo, Animal Crossing"
Isabelle,"Character, Town & City, Object",Easy,"Nintendo, Animal Crossing"
Crazy Redd,"Character, Object",Tough,"Nintendo, Animal Crossing"
Mabel,"Character, Object",Easy,"Nintendo, Animal Crossing"
Sable,"Character, Object",Normal,"Nintendo, Animal Crossing"
Labelle,"Character, Town & City, Locale",Tough,"Nintendo, Animal Crossing"
Gracie,"Character, Town & City, Locale",Lunatic,"Nintendo, Animal Crossing"
K.K. Slider,"Character, Credits, Vocals",Normal,"Nintendo, Animal Crossing"
Mr. Resetti,"Character, Cutscene",Lunatic,"Nintendo, Animal Crossing"
The Luminary,Character,Normal,"Square Enix, Dragon Quest"
Erik,Character,Normal,"Square Enix, Dragon Quest"
Jasper,Boss,Lunatic,"Square Enix, Dragon Quest"
Garland,"Boss, Dungeon",Normal,"Square Enix, Final Fantasy"
Ifrit,"Boss, Fiery",Normal,"Square Enix, Final Fantasy"
Kirby,"Character, Nature, Locale",Easy,"Nintendo, Kirby"
Chilly,"Snowy, Battle",Easy,"Nintendo, Kirby"
Mr. Frosty,"Boss, Snowy",Normal,"Nintendo, Kirby"
Meta Knight,"Character, Adversary",Lunatic,"Nintendo, Kirby"
King Dedede,"Boss, Town & City",Tough,"Nintendo, Kirby"
Waddle Dee,"Battle, Locale",Easy,"Nintendo, Kirby"
Stallord,"Boss, Desert",Tough,"Nintendo, The Legend of Zelda"
Phoenix Wright,"Character, Screen, Other, Object, Jingles",Easy,"Capcom, Ace Attorney"
Miles Edgeworth,"Character, Adversary",Tough,"Capcom, Ace Attorney"
Franziska von Karma,"Character, Adversary, Object",Lunatic,"Capcom, Ace Attorney"
Maya Fey,"Character, Town & City, Locale, Nature",Normal,"Capcom, Ace Attorney"
Godot,"Character, Object, Screen, Other",Tough,"Capcom, Ace Attorney"
Apollo Justice,"Character, Object",Easy,"Capcom, Ace Attorney"
Trucy Wright,"Character, Object, Town & City, Locale",Normal,"Capcom, Ace Attorney"
Athena Cykes,"Character, Object, Screen, Other",Tough,"Capcom, Ace Attorney"
Simon Blackquill,"Character, Nature, Object, Adversary",Lunatic,"Capcom, Ace Attorney"
Ema Skye,"Character, Object, Town & City, Credits",Normal,"Capcom, Ace Attorney"
Klavier Gavin,"Adversary, Vocals, Object",Tough,"Capcom, Ace Attorney"
Rayfa Padma Khura'in,"Adversary, Vocals, Screen, Other, Object",Normal,"Capcom, Ace Attorney"
Nahyuta Sahdmadhi,"Adversary, Object",Tough,"Capcom, Ace Attorney"
Amaterasu,"Character, Forest, Nature, Snowy, Fiery",Merciless,"Capcom, Okami"
Great Zapfish,"Aquatic, Object, Other, Town & City",Merciless,"Nintendo, Splatoon"
Marie,"Aquatic, Vocals, Jingles",Tough,"Nintendo, Splatoon"
Callie,"Aquatic, Vocals, Jingles",Tough,"Nintendo, Splatoon"
Marina,"Aquatic, Vocals, Jingles",Normal,"Nintendo, Splatoon"
Pearl,"Aquatic, Vocals, Jingles",Normal,"Nintendo, Splatoon"
Craig Cuttlefish,"Aquatic, Town & City, Dungeon",Easy,"Nintendo, Splatoon"
Frye,"Aquatic, Vocals, Jingles",Tough,"Nintendo, Splatoon"
Shiver,"Aquatic, Vocals, Jingles",Tough,"Nintendo, Splatoon"
Big Man,"Aquatic, Vocals, Jingles",Tough,"Nintendo, Splatoon"
Zapfish,"Aquatic, Object, Other, Dungeon",Easy,"Nintendo, Splatoon"
Agent 3,"Aquatic, Character, Credits",Lunatic,"Nintendo, Splatoon"
Red,Final Boss,Merciless,"Nintendo, Pokemon"
Leaf,"Character, Credits, Locale, Nature",Lunatic,"Nintendo, Pokemon"
Blue,Final Boss,Lunatic,"Nintendo, Pokemon"
Professor Oak,"Character, Locale, Nature",Easy,"Nintendo, Pokemon"
Ethan,"Character, Town & City, Screen, Object",Normal,"Nintendo, Pokemon"
Lyra,"Character, Object, Locale, Cutscene",Normal,"Nintendo, Pokemon"
Kris (Crystal),"Character, Cutscene, Town & City, Jingles",Normal,"Nintendo, Pokemon"
Silver,"Adversary, Cutscene, Event",Normal,"Nintendo, Pokemon"
Lance,Final Boss,Tough,"Nintendo, Pokemon"
Brendan,"Adversary, Town & City",Easy,"Nintendo, Pokemon"
May,"Adversary, Locale",Easy,"Nintendo, Pokemon"
Norman,Boss,Tough,"Nintendo, Pokemon"
Wallace,Final Boss,Tough,"Nintendo, Pokemon"
Steven Stone,"Final Boss, Desert",Lunatic,"Nintendo, Pokemon"
Zinnia,"Adversary, Character, Cutscene, Space",Tough,"Nintendo, Pokemon"
Maxie,"Fiery, Boss",Tough,"Nintendo, Pokemon"
Archie,"Aquatic, Boss",Tough,"Nintendo, Pokemon"
Cynthia,Final Boss,Merciless,"Nintendo, Pokemon"
Cyrus,"Boss, Space",Lunatic,"Nintendo, Pokemon"
Charon,"Adversary, Cutscene, Fiery",Normal,"Nintendo, Pokemon"
Barry,Boss,Normal,"Nintendo, Pokemon"
Palmer,Boss,Lunatic,"Nintendo, Pokemon"
N,"Adversary, Nature, Cutscene",Tough,"Nintendo, Pokemon"
Ghetsis,Final Boss,Merciless,"Nintendo, Pokemon"
Professor Aurea Juniper,"Character, Locale, Nature",Easy,"Nintendo, Pokemon"
Buck,Fiery,Normal,"Nintendo, Pokemon"
Flint,"Fiery, Boss",Tough,"Nintendo, Pokemon"
Volkner,"Boss, Town & City, Locale",Tough,"Nintendo, Pokemon"
Iris,Final Boss,Tough,"Nintendo, Pokemon"
Lillie,"Cutscene, Character, Town & City",Easy,"Nintendo, Pokemon"
Gladion,"Adversary, Town & City",Tough,"Nintendo, Pokemon"
Nemona,"Adversary, Cutscene",Lunatic,"Nintendo, Pokemon"
Arven,"Character, Nature",Easy,"Nintendo, Pokemon"
Penny,"Character, Event",Easy,"Nintendo, Pokemon"
Leon,Final Boss,Merciless,"Nintendo, Pokemon"
Lysandre,"Boss, Fiery",Tough,"Nintendo, Pokemon"
Hop,"Adversary, Town & City",Easy,"Nintendo, Pokemon"
Trace,Final Boss,Easy,"Nintendo, Pokemon"
Lynne,"Character, Fiery",Normal,"Capcom, Ghost Trick"
Sissel,"Character, Object, Nature",Normal,"Capcom, Ghost Trick"
Naked Snake,"Character, Locale",Tough,"Konami, Metal Gear"
Rambi,"Nature, Forest, Object",Normal,"Nintendo, Donkey Kong"
Noah,"Character, Object, Cutscene, Jingles",Normal,"Nintendo, Xenoblade"
Mio,"Character, Cutscene, Object, Jingles",Normal,"Nintendo, Xenoblade"
Taion,"Character, Object",Easy,"Nintendo, Xenoblade"
Eunie,"Character, Cutscene, Town & City, Nature",Easy,"Nintendo, Xenoblade"
Lanz,"Character, Cutscene",Tough,"Nintendo, Xenoblade"
Sena,"Character, Cutscene",Tough,"Nintendo, Xenoblade"
Ghondor,"Town & City, Dungeon, Locale",Tough,"Nintendo, Xenoblade"
Consul N,Boss,Merciless,"Nintendo, Xenoblade"
L'cirufe,"Character, Object, Nature, Forest",Easy,"Nintendo, Xenoblade"
Makoto Naegi,"Character, Cutscene, Object",Easy,"Spike Chunsoft, Danganronpa"
Kyoko Kirigiri,"Other, Object, Screen, Character",Tough,"Spike Chunsoft, Danganronpa"
Byakuya Togami,"Adversary, Object",Tough,"Spike Chunsoft, Danganronpa"
Nagito Komaeda,Adversary,Normal,"Spike Chunsoft, Danganronpa"
Hajime Hinata,Character,Easy,"Spike Chunsoft, Danganronpa"
Chiaki Nanami,"Object, Other, Screen",Normal,"Spike Chunsoft, Danganronpa"
Shuichi Saihara,"Other, Object, Screen, Character",Easy,"Spike Chunsoft, Danganronpa"
Kaede Akamatsu,"Character, Object, Screen",Tough,"Spike Chunsoft, Danganronpa"
Kokichi Oma,"Adversary, Object, Town & City",Tough,"Spike Chunsoft, Danganronpa"
Monokuma,"Battle, Dungeon",Normal,"Spike Chunsoft, Danganronpa"
Makoto Yuki,"Character, Object, Other, Credits, Vocals",Tough,"SEGA, Persona"
Yukari Takeba,"Town & City, Object",Normal,"SEGA, Persona"
Junpei Iori,"Locale, Dungeon, Other",Normal,"SEGA, Persona"
Yu Narukami,"Character, Cutscene",Tough,"SEGA, Persona"
Chie Satonaka,"Object, Event, Cutscene",Normal,"SEGA, Persona"
Yosuke Hanamura,"Town & City, Locale, Object",Normal,"SEGA, Persona"
Tatsuya Suou,"Town & City, Character, Dungeon",Merciless,"SEGA, Persona"
Igor,"Character, Object, Event, Screen, Other",Lunatic,"SEGA, Persona"
Jack Frost,"Snowy, Battle",Easy,"SEGA, Persona"
Tohru Adachi,"Character, Cutscene",Tough,"SEGA, Persona"
Sojiro Sakura,"Character, Town & City, Locale",Easy,"SEGA, Persona"
Minoto,"Character, Cutscene, Town & City, Nature, Locale",Tough,"Capcom, Monster Hunter"
Hinoa,"Character, Cutscene, Town & City, Nature, Locale",Tough,"Capcom, Monster Hunter"
Rathalos,"Boss, Fiery, Nature",Tough,"Capcom, Monster Hunter"
Fugen,"Object, Character, Nature, Locale, Town & City",Lunatic,"Capcom, Monster Hunter"
Red Crewmate,Space,Normal,Among Us
Ezio Auditore da Firenze,"Town & City, Credits, Object, Locale",Merciless,"Assassin's Creed, Ubisoft"
Rayman,Character,Normal,"Ubisoft, Rayman"
Revali,"Snowy, Boss",Tough,"Nintendo, The Legend of Zelda"
Phyco,"Space, Character, Town & City, Locale",Easy,"Nintendo, Pokemon"
Soren,Character,Tough,"Nintendo, Fire Emblem"
Alfred,"Town & City, Nature, Locale",Normal,"Nintendo, Fire Emblem"
Sain,"Object, Other, Character",Normal,"Nintendo, Fire Emblem"
Caeda,"Character, Town & City",Normal,"Nintendo, Fire Emblem"
Faye,"Character, Cutscene",Easy,"Nintendo, Fire Emblem"
Gray,"Character, Town & City",Normal,"Nintendo, Fire Emblem"
Oswin,Character,Normal,"Nintendo, Fire Emblem"
Marcus,Character,Normal,"Nintendo, Fire Emblem"
Seth,"Character, Town & City, Locale",Merciless,"Nintendo, Fire Emblem"
Frederick,Character,Normal,"Nintendo, Fire Emblem"
Gunter,"Adversary, Object, Event, Cutscene",Tough,"Nintendo, Fire Emblem"
Felicia,"Character, Object",Easy,"Nintendo, Fire Emblem"
Jakob,"Character, Object",Easy,"Nintendo, Fire Emblem"
Hubert,"Character, Adversary, Object",Normal,"Nintendo, Fire Emblem"
Dedue,"Character, Event, Cutscene",Normal,"Nintendo, Fire Emblem"
Hilda,"Character, Town & City",Normal,"Nintendo, Fire Emblem"
Niko,"Character, Town & City, Locale",Easy,"OneShot, Indie"
Madeline,"Character, Nature, Object",Tough,"Indie, Celeste"
Malt Marzipan,"Character, Locale",Normal,"Fuga, Indie"
AiAi,Character,Normal,"Super Monkey Ball, SEGA"
Kazuma Kiryu,"Character, Town & City, Locale",Merciless,"SEGA, Like a Dragon"
Goro Majima,"Aquatic, Adversary",Lunatic,"SEGA, Like a Dragon"
Ichiban Kasuga,"Character, Town & City",Tough,"SEGA, Like a Dragon"
Tails,"Character, Object, Nature, Forest",Easy,"SEGA, Sonic"
Cloud Strife,"Character, Town & City, Locale",Merciless,"Square Enix, Final Fantasy"
Sephiroth,Final Boss,Merciless,"Square Enix, Final Fantasy"
Warrior of Light,"Character, Object",Easy,"Square Enix, Final Fantasy"
Firion,"Town & City, Object",Normal,"Square Enix, Final Fantasy"
Emperor Mateus,Final Boss,Lunatic,"Square Enix, Final Fantasy"
Ga'ran Sigatar Khura'in,Final Boss,Normal,"Capcom, Ace Attorney"
Cecil Harvey,"Character, Cutscene, Town & City, Object",Tough,"Square Enix, Final Fantasy"
Golbez,Adversary,Lunatic,"Square Enix, Final Fantasy"
Terra Branford,"Locale, Nature, Character, Event, Cutscene",Lunatic,"Square Enix, Final Fantasy"
Kefka Palazzo,Final Boss,Merciless,"Square Enix, Final Fantasy"
Squall Leonhart,"Character, Locale",Lunatic,"Square Enix, Final Fantasy"
